Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,22,Diode,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S2, S3, S4, S5, S6, S7, S8, S9",MX_PCB_1.00u,18,Keyswitch,
"S19, S20, S21",MX_PCB_1.25u,3,Keyswitch,
S22,MX_PCB_2.25u,1,Keyswitch,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
