Designator,Mid X,Mid Y,Rotation,Layer
D1,101.75875,-66.675,90.0,bottom
D10,158.90875,-85.725,90.0,bottom
D11,177.95875,-85.725,90.0,bottom
D12,197.00875,-85.725,90.0,bottom
D13,101.75875,-104.775,90.0,bottom
D14,120.80875,-104.775,90.0,bottom
D15,139.85875,-104.775,90.0,bottom
D16,158.90875,-104.775,90.0,bottom
D17,177.95875,-104.775,90.0,bottom
D18,197.00875,-104.775,90.0,bottom
D19,104.14,-123.825,90.0,bottom
D2,120.80875,-66.675,90.0,bottom
D20,127.9525,-123.825,90.0,bottom
D21,151.765,-123.825,90.0,bottom
D22,185.1025,-123.825,90.0,bottom
D3,139.85875,-66.675,90.0,bottom
D4,158.90875,-66.675,90.0,bottom
D5,177.95875,-66.675,90.0,bottom
D6,197.00875,-66.675,90.0,bottom
D7,101.75875,-85.725,90.0,bottom
D8,120.80875,-85.725,90.0,bottom
D9,139.85875,-85.725,90.0,bottom
S1,92.23375,-63.8175,0.0,top
S10,149.38375,-82.8675,0.0,top
S11,168.43375,-82.8675,0.0,top
S12,187.48375,-82.8675,0.0,top
S13,92.23375,-101.9175,0.0,top
S14,111.28375,-101.9175,0.0,top
S15,130.33375,-101.9175,0.0,top
S16,149.38375,-101.9175,0.0,top
S17,168.43375,-101.9175,0.0,top
S18,187.48375,-101.9175,0.0,top
S19,94.615,-120.9675,0.0,top
S2,111.28375,-63.8175,0.0,top
S20,118.4275,-120.9675,0.0,top
S21,142.24,-120.9675,0.0,top
S22,175.5775,-120.9675,0.0,top
S3,130.33375,-63.8175,0.0,top
S4,149.38375,-63.8175,0.0,top
S5,168.43375,-63.8175,0.0,top
S6,187.48375,-63.8175,0.0,top
S7,92.23375,-82.8675,0.0,top
S8,111.28375,-82.8675,0.0,top
S9,130.33375,-82.8675,0.0,top
U1,210.66125,-72.0725,0.0,top
