Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,22,Diode,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S2, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S5, S6, S7, S8, S9",Hotswap_Choc_V1V2_1.00u,36,Keyswitch,
"S19, S20, S21, S41, S42, S43",Hotswap_Choc_V1V2_1.25u,6,Keyswitch,
"S22, S44",Hotswap_Choc_V1V2_2.25u,2,Keyswitch,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
