Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D3, D4, D5, D6, D7, D8, D9",Diode_DO-35,22,Diode,
J1,OLED_128x32_Nice_View,1,OLED_128x32_Nice_View,
"JP1, JP10, JP2, JP4, JP5, JP6, JP7, JP9",SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,8,SolderJumper_2_Open,
JST1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,1,~,
"S1, S10, S11, S12, S13, S14, S15, S16, S17, S18, S19, S2, S20, S21, S22, S23, S24, S25, S26, S27, S28, S29, S3, S30, S31, S32, S33, S34, S35, S36, S37, S38, S39, S4, S40, S41, S42, S43, S44, S5, S6, S7, S8, S9",Hotswap_MX,44,Keyswitch,
"SW1, SW3",SW_SPDT_PCM12,2,SW_SPDT,
"SW2, SW4",Panasonic_EVQPUK_EVQPUB,2,SW_Push,
U1,Nice_Nano_V2,1,Nice_Nano_V2,
